ANALYST,ESTIMID,COUNT_RECOM,COUNT_TP
AARON E,BRILEY,0,1
AARON E,RBCDOMIN,41,377
ABATE A,BEREN,11,21
ABBOTT J,FRIEDMAN,25,116
ABBOTT J,MERRILL,38,130
ABBOTT J,PRITCHAR,16,91
ABBOTT N,WHEAT,9,50
ABDALLA F,JPMORGAN,21,89
ABDALLA F,MORGAN,0,1
ABDULLAH N,CFRANOWM,2,1
ABEDI A,MERRILL,4,6
ABELARDO F,MORGAN,1,3
ABERLE N,CARISCO,2,75
ABERLE N,JANNEY,13,15
ABERMAN M,FBOSTON,24,99
ABERNETHY B,DLOUHY,0,7
ABERNETHY B,INDALSEC,4,35
ABERNETHY B,ROSSEC,24,175
ABERNETHY B,STIFEL,15,38
ABERNETHY B,WEISEL,8,43
ABERNETHY B,WESTWIND,7,26
ABOUHOSSEIN K,JPMORGAN,17,153
ABRAHAM PEREG P,LATINVES,5,0
ABRAHAM PEREGRINA P,LATINVES,0,5
ABRAHAM V,CFRANOWM,0,1
ABRAHAMS B,FAHN,31,66
ABRAHAMS B,FBOSTON,0,1
ABRAHAMS B,JEFFEREG,25,147
ABRAHAMS B,RBCDOMIN,107,875
ABRAHAMS B,WHEAT,38,3
ABRAMOVITZ B,GARBANDI,2,4
ABRAMOVITZ B,KAUFBRO,20,45
ABRAMOWITZ P,JEFFEREG,21,221
ABRAMOWITZ W,ARGUS,67,1
ABRAMS A,AVIAN,47,102
ABRAMS A,JGCAP,12,20
ABRAMS J,CANTORFZ,5,8
ABRAMS R,CSFBFH,0,1
ABRAMS R,FBOSTON,27,93
ABRAMS T,MORGAN,142,574
ABRAMSKY M,RBCDOMIN,22,117
ABRAMSKY M,SIDOTI,0,1
ABRAMSON B,GABELLCO,7,0
ACHESON B,THEBENCH,18,0
ACHESON W,LADENBUR,7,6
ACHESON W,MERRILL,3,0
ACHESON W,THEBENCH,15,35
ACHHIPALIA G,MORGAN,1,10
ACHRAMOWICZ J,MDB,4,14
ACHRAMOWICZ J,RTXSECS,33,50
ACHTMANN T,JPMORGAN,0,2
ACKERMAN K,EXANE,22,88
ACKERMAN W,SOGENED,12,61
ACKOR J,STERNE,4,4
ACREE C,ASCENDIA,17,49
ACREE C,DREXEL,20,73
ACREE C,LOOPCAMA,22,101
ACREE C,STIFEL,4,64
ACREE C,THEBENCH,8,41
ACREE C,WILLFIN,40,62
ADAIME L,FBOSTON,2,4
ADALA V,MORGAN,0,2
ADAM D,INSTINET,4,16
ADAM D,JPMORGAN,1,2
ADAM D,LOOPCAMA,20,81
ADAMS B,ARGUS,33,2
ADAMS B,WOODGUND,2,13
ADAMS D,JEFFEREG,2,28
ADAMS D,PUNTA,3,2
ADAMS J,NOMURAUS,4,10
ADAMS K,ROSSEC,21,50
ADAMS M,SANDLER,5,57
ADELMAN A,CAPSTONE,12,19
ADELMAN D,MORGAN,30,63
ADELMAN D,NOMURAUS,0,1
ADELSON J,MORGAN,25,51
ADER J,BLAIR,109,0
ADER J,JPMORGAN,35,111
ADER J,MOFFETT,14,44
ADER J,WEISEL,5,33
ADER/HO,BLAIR,1,0
ADESANYA O,SBGSEC,0,1
ADHIPUTRA L,WORLDSEC,1,0
ADISA M,MORGAN,6,1
