ANALYST,TICKER,COUNT_RECOM_x,COUNT_RECOM_y
AARON E,ACAT,0,3
AARON E,BC,1,17
AARON E,BDSB,3,2
AARON E,BFX1,0,1
AARON E,BGS,2,18
AARON E,BNNY,0,3
AARON E,CLUB,2,3
AARON E,CPB,2,14
AARON E,DMDN,3,10
AARON E,DW,0,6
AARON E,GIS,1,15
AARON E,HDI,1,32
AARON E,HNZ,1,14
AARON E,HOBM,0,1
AARON E,HZO,0,4
AARON E,IFF,2,11
AARON E,K,2,14
AARON E,KFT,2,17
AARON E,KRFT,1,1
AARON E,LNCE,1,9
AARON E,LTMI,1,13
AARON E,MCCO,1,2
AARON E,MJN,2,18
AARON E,NBTY,5,22
AARON E,NOSH,2,19
AARON E,SJM,1,17
AARON E,SNO,1,25
AARON E,STKL,0,7
AARON E,TFM,1,7
AARON E,THOR,0,5
AARON E,UNF2,0,17
AARON E,WFMI,2,23
AARON E,WGO,1,8
ABATE A,NUE,5,8
ABATE A,STLD,5,8
ABATE A,TXR,1,5
ABBOTT J,AAGD,1,2
ABBOTT J,ARP,3,8
ABBOTT J,ASFC,1,7
ABBOTT J,BBEP,2,7
ABBOTT J,BBGC,0,10
ABBOTT J,BNTN,4,5
ABBOTT J,BRKL,2,2
ABBOTT J,CATY,0,7
ABBOTT J,CNX,3,20
ABBOTT J,COG1,2,6
ABBOTT J,CRGY,2,8
ABBOTT J,CRZO,0,4
ABBOTT J,CSPK,1,7
ABBOTT J,ENPC,1,2
ABBOTT J,EQT,3,28
ABBOTT J,EVEP,2,5
ABBOTT J,EWBC,1,9
ABBOTT J,FCBP,1,6
ABBOTT J,FEMP,1,3
ABBOTT J,FOEX,2,2
ABBOTT J,GLFF,1,2
ABBOTT J,HAFC,1,5
ABBOTT J,HCBC,2,1
ABBOTT J,KNTX,6,15
ABBOTT J,KRP,1,2
ABBOTT J,LGCY,2,3
ABBOTT J,LOMK,1,5
ABBOTT J,LRR,1,5
ABBOTT J,MCEP,0,3
ABBOTT J,MEMP,2,4
ABBOTT J,MTXC,0,3
ABBOTT J,NABC,0,5
ABBOTT J,NARA,2,5
ABBOTT J,NFG,1,17
ABBOTT J,OASS/1,2,7
ABBOTT J,PBCT,1,5
ABBOTT J,PBLA,2,2
ABBOTT J,PETD,2,10
ABBOTT J,PSVB,3,6
ABBOTT J,QCSB,1,6
ABBOTT J,QRE,1,2
ABBOTT J,REXX,0,8
ABBOTT J,ROES,1,7
ABBOTT J,ROYT,2,4
ABBOTT J,SFY,0,4
ABBOTT J,SIVB,0,9
ABBOTT J,TBBK,1,6
ABBOTT J,UCBH,3,11
ABBOTT J,VEI,1,0
ABBOTT J,VNR,3,5
ABBOTT J,WBST,1,8
ABBOTT J,WRES,1,4
ABBOTT J,ZION,2,10
ABBOTT N,00BW,1,3
ABBOTT N,01KN,0,2
ABBOTT N,02AL,0,2
ABBOTT N,ADAP,0,2
ABBOTT N,ADHD,0,4
ABBOTT N,AUTL,0,2
ABBOTT N,CLLS,1,3
ABBOTT N,DPII,1,3
ABBOTT N,ESYW,1,2
ABBOTT N,FATE,0,4
ABBOTT N,FPRX,1,1
ABBOTT N,GNBP,0,3
ABBOTT N,GRCL,0,3
